0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/pages/scripts/chart-helper.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/bootstrap-datepicker/js/bootstrap-datepicker.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/bootstrap-datetimepicker/js/bootstrap-datetimepicker.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/bootstrap-datetimepicker/js/locales/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/pages/scripts/ui-blockui.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/pages/scripts/ecommerce-products.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/layout2/scripts/layout.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/scripts/metronic.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/pages/scripts/lanswitch.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/scripts/datatable.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/pages/scripts/index.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/amcharts/amcharts/amcharts.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/pages/scripts/components-pickers.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/amcharts/amcharts/serial.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/pages/scripts/form-icheck.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/pages/scripts/charts-amcharts.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/scripts/jquery-validate/jquery.validate.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/scripts/jquery-validate/additional-methods.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/scripts/map.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/koolmis/js/koolmis.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/scripts/bootstrap-colorpicker/js/bootstrap-colorpicker.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /assets/admin/layout2/img/logo.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /assets/admin/layout2/img/avatar.png HTTP/1.1" 404 1021
