127.0.0.1 - - [06/Apr/2016:11:00:47 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/login.jsp HTTP/1.1" 200 13312
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/global/plugins/pace/pace.min.js;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 12314
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/global/plugins/pace/themes/pace-theme-flash.css;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/global/plugins/font-awesome/css/font-awesome.min.css;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 23739
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/global/plugins/simple-line-icons/simple-line-icons.min.css;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 9562
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/global/plugins/uniform/css/uniform.default.css;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 10851
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/global/plugins/bootstrap/css/bootstrap.min.css;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/global/css/plugins.css;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 48592
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/admin/layout2/css/layout.css;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 57782
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/global/css/components.css;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 374722
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/admin/layout2/css/themes/grey.css;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 19151
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/admin/layout2/css/custom.css;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 19130
0:0:0:0:0:0:0:1 - - [06/Apr/2016:11:01:05 +0800] "GET /SSM_BS/assets/admin/pages/css/login.css;jsessionid=573C5DD4FAF4DB5F8E73536659DBC2B9 HTTP/1.1" 200 5754
