127.0.0.1 - - [08/Apr/2016:09:24:02 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/login.jsp HTTP/1.1" 200 13312
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/pace/pace.min.js;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 12314
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/simple-line-icons/simple-line-icons.min.css;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 9562
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/uniform/css/uniform.default.css;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 10851
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/pace/themes/pace-theme-flash.css;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/admin/pages/css/login.css;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/font-awesome/css/font-awesome.min.css;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 23739
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/bootstrap/css/bootstrap.min.css;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/css/components.css;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 374722
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/admin/layout2/css/layout.css;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 57782
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/css/plugins.css;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 48592
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/admin/layout2/css/custom.css;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 19130
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/admin/layout2/css/themes/grey.css;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 19151
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/admin/layout2/img/logo2.png;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 28259
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/bootstrap/js/bootstrap.min.js;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/jquery.blockui.min.js;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 9544
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /msc/commons/jcaptcha.jpg;jsessionid=A63DD1E0844F9E862F20FCA3EECE1B12 HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/uniform/jquery.uniform.min.js;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 8308
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/jquery.min.js;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 95933
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/jquery-migrate.min.js;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/jquery-validation/js/jquery.validate.min.js;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 21525
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/plugins/jquery.cookie.js;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/admin/pages/scripts/login.js;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/assets/global/scripts/metronic.js;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 36611
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/scripts/images/book1.jpg;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 200 19618
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:14 +0800] "GET /SSM_BS/scripts/images/favicon.ico;jsessionid=048C7018E09F4015DBA392F62DAA0B95 HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:18 +0800] "GET /SSM_BS/login.jsp HTTP/1.1" 200 12035
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:18 +0800] "GET /msc/commons/jcaptcha.jpg;jsessionid=A63DD1E0844F9E862F20FCA3EECE1B12 HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:18 +0800] "GET /SSM_BS/assets/admin/layout2/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:23 +0800] "POST /SSM_BS/login/turnIndex HTTP/1.1" 200 33042
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:24:28 +0800] "GET /SSM_BS/subType/SellectByParams HTTP/1.1" 200 36400
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:31:15 +0800] "GET /SSM_BS/subType/SellectByParams HTTP/1.1" 503 1030
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:31:15 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Apr/2016:09:31:18 +0800] "GET /SSM_BS/subType/SellectByParams HTTP/1.1" 200 36400
